batch_size,replicate,model,language,accuracy
1,1,claude,en,1
1,2,claude,en,0
1,3,claude,en,1
1,4,claude,en,1
1,5,claude,en,1
5,1,claude,en,0.8
5,2,claude,en,1
5,3,claude,en,0.8
5,4,claude,en,0.8
5,5,claude,en,1
10,1,claude,en,0.6
10,2,claude,en,0.9
10,3,claude,en,1
10,4,claude,en,0.8
10,5,claude,en,0.8
20,1,claude,en,0.8
20,2,claude,en,0.8
20,3,claude,en,0.9
20,4,claude,en,0.9
20,5,claude,en,0.9
1,1,claude,cn,1
1,2,claude,cn,0
1,3,claude,cn,1
1,4,claude,cn,0
1,5,claude,cn,1
5,1,claude,cn,0.8
5,2,claude,cn,0.8
5,3,claude,cn,0.8
5,4,claude,cn,1
5,5,claude,cn,0.8
10,1,claude,cn,0.7
10,2,claude,cn,0.7
10,3,claude,cn,0.8
10,4,claude,cn,0.7
10,5,claude,cn,0.6
20,1,claude,cn,0.7
20,2,claude,cn,0.55
20,3,claude,cn,0.75
20,4,claude,cn,0.8
20,5,claude,cn,0.8
1,1,claude,ar,0
1,2,claude,ar,0
1,3,claude,ar,1
1,4,claude,ar,1
1,5,claude,ar,1
5,1,claude,ar,0.8
5,2,claude,ar,0.8
5,3,claude,ar,0.8
5,4,claude,ar,0.6
5,5,claude,ar,0.8
10,1,claude,ar,0.6
10,2,claude,ar,0.5
10,3,claude,ar,0.7
10,4,claude,ar,0.7
10,5,claude,ar,0.6
20,1,claude,ar,0.65
20,2,claude,ar,0.8
20,3,claude,ar,0.7
20,4,claude,ar,0.8
20,5,claude,ar,0.85
1,1,gemini,en,1
1,2,gemini,en,1
1,3,gemini,en,1
1,4,gemini,en,1
1,5,gemini,en,1
5,1,gemini,en,1
5,2,gemini,en,1
5,3,gemini,en,1
5,4,gemini,en,0.8
5,5,gemini,en,1
10,1,gemini,en,0.7
10,2,gemini,en,1
10,3,gemini,en,1
10,4,gemini,en,0.8
10,5,gemini,en,0.9
20,1,gemini,en,0.8
20,2,gemini,en,0.8
20,3,gemini,en,0.95
20,4,gemini,en,0.9
20,5,gemini,en,0.9
1,1,gemini,cn,1
1,2,gemini,cn,0
1,3,gemini,cn,1
1,4,gemini,cn,0
1,5,gemini,cn,1
5,1,gemini,cn,0.8
5,2,gemini,cn,0.8
5,3,gemini,cn,0.8
5,4,gemini,cn,0.8
5,5,gemini,cn,0.8
10,1,gemini,cn,0.7
10,2,gemini,cn,0.9
10,3,gemini,cn,0.7
10,4,gemini,cn,0.8
10,5,gemini,cn,0.7
20,1,gemini,cn,0.75
20,2,gemini,cn,0.5
20,3,gemini,cn,0.75
20,4,gemini,cn,0.65
20,5,gemini,cn,0.85
1,1,gemini,ar,1
1,2,gemini,ar,0
1,3,gemini,ar,1
1,4,gemini,ar,1
1,5,gemini,ar,1
5,1,gemini,ar,0.8
5,2,gemini,ar,0.8
5,3,gemini,ar,0.6
5,4,gemini,ar,0.4
5,5,gemini,ar,0.6
10,1,gemini,ar,0.7
10,2,gemini,ar,0.8
10,3,gemini,ar,0.7
10,4,gemini,ar,0.8
10,5,gemini,ar,0.7
20,1,gemini,ar,0.7
20,2,gemini,ar,0.9
20,3,gemini,ar,0.5
20,4,gemini,ar,0.7
20,5,gemini,ar,0.65
1,1,chatgpt,en,1
1,2,chatgpt,en,0
1,3,chatgpt,en,1
1,4,chatgpt,en,1
1,5,chatgpt,en,1
5,1,chatgpt,en,1
5,2,chatgpt,en,1
5,3,chatgpt,en,0.8
5,4,chatgpt,en,1
5,5,chatgpt,en,1
10,1,chatgpt,en,0.6
10,2,chatgpt,en,0.8
10,3,chatgpt,en,1
10,4,chatgpt,en,0.8
10,5,chatgpt,en,0.8
20,1,chatgpt,en,0.75
20,2,chatgpt,en,0.75
20,3,chatgpt,en,0.8
20,4,chatgpt,en,0.8
20,5,chatgpt,en,0.9
1,1,chatgpt,cn,1
1,2,chatgpt,cn,0
1,3,chatgpt,cn,1
1,4,chatgpt,cn,0
1,5,chatgpt,cn,1
5,1,chatgpt,cn,1
5,2,chatgpt,cn,0.8
5,3,chatgpt,cn,0.8
5,4,chatgpt,cn,0.8
5,5,chatgpt,cn,0.8
10,1,chatgpt,cn,0.9
10,2,chatgpt,cn,0.8
10,3,chatgpt,cn,0.8
10,4,chatgpt,cn,0.7
10,5,chatgpt,cn,0.5
20,1,chatgpt,cn,0.65
20,2,chatgpt,cn,0.55
20,3,chatgpt,cn,0.75
20,4,chatgpt,cn,0.7
20,5,chatgpt,cn,0.85
1,1,chatgpt,ar,0
1,2,chatgpt,ar,0
1,3,chatgpt,ar,1
1,4,chatgpt,ar,1
1,5,chatgpt,ar,1
5,1,chatgpt,ar,0.8
5,2,chatgpt,ar,1
5,3,chatgpt,ar,0.4
5,4,chatgpt,ar,0.6
5,5,chatgpt,ar,0.8
10,1,chatgpt,ar,0.5
10,2,chatgpt,ar,0.6
10,3,chatgpt,ar,0.6
10,4,chatgpt,ar,0.7
10,5,chatgpt,ar,0.7
20,1,chatgpt,ar,0.75
20,2,chatgpt,ar,0.75
20,3,chatgpt,ar,0.6
20,4,chatgpt,ar,0.75
20,5,chatgpt,ar,0.8
1,1,deepseek,en,1
1,2,deepseek,en,0
1,3,deepseek,en,1
1,4,deepseek,en,0
1,5,deepseek,en,1
5,1,deepseek,en,0.8
5,2,deepseek,en,1
5,3,deepseek,en,0.6
5,4,deepseek,en,1
5,5,deepseek,en,0.6
10,1,deepseek,en,0.7
10,2,deepseek,en,0.8
10,3,deepseek,en,1
10,4,deepseek,en,0.7
10,5,deepseek,en,0.7
20,1,deepseek,en,0.7
20,2,deepseek,en,0.65
20,3,deepseek,en,0.75
20,4,deepseek,en,0.9
20,5,deepseek,en,0.85
1,1,deepseek,cn,1
1,2,deepseek,cn,0
1,3,deepseek,cn,1
1,4,deepseek,cn,0
1,5,deepseek,cn,1
5,1,deepseek,cn,1
5,2,deepseek,cn,0.6
5,3,deepseek,cn,0.6
5,4,deepseek,cn,1
5,5,deepseek,cn,0.8
10,1,deepseek,cn,0.6
10,2,deepseek,cn,0.8
10,3,deepseek,cn,0.7
10,4,deepseek,cn,0.5
10,5,deepseek,cn,0.7
20,1,deepseek,cn,0.6
20,2,deepseek,cn,0.45
20,3,deepseek,cn,0.6
20,4,deepseek,cn,0.65
20,5,deepseek,cn,0.75
1,1,deepseek,ar,1
1,2,deepseek,ar,0
1,3,deepseek,ar,1
1,4,deepseek,ar,0
1,5,deepseek,ar,1
5,1,deepseek,ar,1
5,2,deepseek,ar,0.6
5,3,deepseek,ar,0.8
5,4,deepseek,ar,0.6
5,5,deepseek,ar,0.6
10,1,deepseek,ar,0.7
10,2,deepseek,ar,0.2
10,3,deepseek,ar,0.9
10,4,deepseek,ar,0.6
10,5,deepseek,ar,0.6
20,1,deepseek,ar,0.7
20,2,deepseek,ar,0.85
20,3,deepseek,ar,0.55
20,4,deepseek,ar,0.6
20,5,deepseek,ar,0.85
